List;Sentence;Offset
1;1;2.2165
1;2;2.5150
1;3;-0.5916
1;4;2.9940
1;5;-1.4669
1;6;4.9585
1;7;-1.6595
1;8;-2.9890
1;9;2.9246
1;10;0.0635
1;11;0.8863
1;12;1.3949
1;13;1.0871
1;14;-2.5213
1;15;-4.8096
1;16;-1.6274
1;17;1.6322
1;18;1.8738
1;19;-4.1003
2;20;-1.4725
2;21;3.4615
2;22;-1.1425
2;23;0.1711
2;24;2.5777
2;25;-2.2931
2;26;0.7865
2;27;-4.7266
2;28;3.4745
2;29;-4.0983
2;30;-2.0478
2;31;1.9471
2;32;3.8632
2;33;4.1837
2;34;-4.6874
2;35;-0.1032
2;36;-0.0890
2;37;-3.7292
2;38;2.7058
2;39;-0.7416
2;40;0.1394
3;1200;-0.2786
3;1199;3.5223
3;1198;-2.8754
3;1197;-4.7944
3;1196;2.0634
3;1195;4.1295
3;1194;3.3151
3;1193;-2.0376
3;1192;-1.1071
3;1191;-2.8154
3;1190;2.1654
3;1189;4.7937
3;1188;-3.9742
3;1187;1.8553
3;1186;-0.1036
3;1185;4.6233
3;1184;4.2330
3;1183;-0.3101
3;1182;3.6466
3;1181;-4.1381
